Rk,player,win_pct,ts_pct,ws,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
142,Drew Eubanks\eubandr01,0.426,0.705,0.1,5.3,2.1,0.3,0,0.1,2.9
143,Jacob Evans\evansja02,0.727,0.439,-0.4,14.8,1.5,1.1,0.4,0.4,4.6
144,Dante Exum\exumda01,0.727,0.545,0.2,13.4,1.8,1.2,0.4,0.2,4.2
145,Tacko Fall\fallta01,0.704,0.713,0.1,4,1.8,0,0,0.3,3.2
146,Derrick Favors\favorde01,0.418,0.631,3,23.9,9.9,1.8,0.6,1,9.5
147,Cristiano Felício\feliccr01,0.345,0.661,0.7,17.8,4.7,0.7,0.4,0.1,4.1
148,Terrance Ferguson\fergute01,0.6,0.52,0.7,25,1.6,1,0.6,0.3,4.5
149,Bruno Fernando\fernabr01,0.268,0.538,0.5,12.2,3.4,0.8,0.3,0.4,4
150,Yogi Ferrell\ferreyo01,0.389,0.51,0.5,11.1,1.1,1.4,0.3,0.1,4.4
151,Dorian Finney-Smith\finnedo01,0.6,0.594,3.7,29.7,5.6,1.5,0.7,0.5,9.4
152,Bryn Forbes\forbebr01,0.426,0.553,1.2,25.3,2.1,1.9,0.5,0,11.1
153,Evan Fournier\fournev01,0.436,0.592,3.8,31.7,2.7,3.2,1.1,0.2,18.7
154,De'Aaron Fox\foxde01,0.389,0.544,2.4,31.5,4.2,7,1.5,0.6,19.7
155,Melvin Frazier\frazime01,0.436,0.48,0,3.4,0.3,0.1,0.3,0.1,1.3
156,Michael Frazier\frazimi01,0.63,0.515,0,8.6,0.4,0.1,0.3,0,1.7
157,Tim Frazier\fraziti01,0.333,0.464,0.1,13.1,1.2,3.4,0.5,0.1,3.6
158,Markelle Fultz\fultzma01,0.436,0.52,2.3,28.2,3.5,5,1.3,0.2,11.9
159,Wenyen Gabriel\gabriwe01,0.727,0.455,0,6.6,1.1,0.2,0.3,0.2,1.8
160,Daniel Gafford\gaffoda01,0.345,0.66,1.3,12.7,2.4,0.4,0.3,1.3,4.7
161,Danilo Gallinari\gallida01,0.6,0.617,5.2,30.7,5.7,2.3,0.7,0.1,19.3
162,Langston Galloway\gallola01,0.333,0.583,2.8,26,2.2,1.6,0.7,0.2,10.1
163,Darius Garland\garlada01,0.259,0.494,-1.5,30.5,1.9,3.8,0.7,0,12.2
164,Marc Gasol\gasolma01,0.727,0.551,2.6,27.8,6.5,3.5,0.8,0.9,7.8
165,Rudy Gay\gayru01,0.426,0.545,1.2,21,5.3,1.7,0.4,0.5,9.5
166,Paul George\georgpa01,0.673,0.578,2.9,29.4,6.1,3.9,1.3,0.5,21.7
167,Taj Gibson\gibsota01,0.309,0.593,2,16.5,4.3,0.9,0.4,0.4,5.8
168,Harry Giles\gilesha01,0.389,0.572,0.8,12.5,3.5,1.2,0.5,0.3,5.6
169,Shai Gilgeous-Alexander\gilgesh01,0.6,0.56,4.7,35.5,6.1,3.2,1.2,0.7,19.5
170,Rudy Gobert\goberru01,0.667,0.691,8.8,34.6,14.6,1.5,0.7,1.9,15.6
171,Brandon Goodwin\goodwbr01,0.268,0.51,0.1,13.7,2.4,1.5,0.4,0.2,6.7
172,Aaron Gordon\gordoaa01,0.436,0.504,2.5,32.2,7.3,3.1,0.8,0.5,14.2
173,Eric Gordon\gordoer01,0.63,0.517,0.8,29.4,2,1.5,0.6,0.4,15.3
174,Devonte' Graham\grahade01,0.333,0.536,3,35.2,3.6,7.8,0.9,0.3,18.1
175,Treveon Graham\grahatr01,0.727,0.446,0.1,17.4,2.7,0.7,0.4,0.1,4.4
176,Jerami Grant\grantje01,0.691,0.58,3.4,26.4,3.7,1.1,0.6,0.9,11.3
177,Josh Gray\grayjo01,0.418,0.5,-0.1,11.5,1,1,0,0,1
178,Danny Green\greenda02,0.774,0.566,2.9,25,3.5,1.3,1.2,0.5,8.6
179,Draymond Green\greendr01,0.218,0.491,1.2,29.1,6.4,6.2,1.4,0.8,8.3
180,JaMychal Green\greenja01,0.673,0.537,2,20.7,6.4,0.7,0.5,0.4,6.4
181,Javonte Green\greenja02,0.704,0.569,1,9.1,1.7,0.5,0.5,0.1,3
182,Jeff Green\greenje02,0.667,0.523,0.6,18.4,2.7,0.7,0.4,0.3,7.8
183,Blake Griffin\griffbl01,0.333,0.476,-0.1,28.4,4.7,3.3,0.4,0.4,15.5
184,Marko Guduric\gudurma01,0.518,0.5,-0.1,13.2,1.9,1.2,0.3,0.2,4.5
185,Kyle Guy\guyky01,0.389,0.5,0,2,0,0,0,0,1
186,Rui Hachimura\hachiru01,0.377,0.54,1.1,28.8,6,1.5,0.7,0.2,13.9
187,Devon Hall\hallde01,0.6,0.37,0,4,0.2,0.6,0,0,1
188,Tim Hardaway\hardati02,0.6,0.576,3.2,27.4,3,2,0.6,0.1,14.8
189,James Harden\hardeja01,0.63,0.62,10.1,37.1,6.5,7.3,1.6,1,35.3
190,Maurice Harkless\harklma01,0.727,0.575,2.2,22.9,4,1,1,0.6,5.5
191,Jared Harper\harpeja01,0.4,0.25,0,2.7,0,0,0,0,0.7
192,Montrezl Harrell\harremo01,0.673,0.598,5.7,28.4,7.1,1.8,0.6,1.1,18.8
193,Gary Harris\harriga01,0.691,0.496,1.6,32.1,2.9,2.2,1.3,0.2,10.2
194,Joe Harris\harrijo01,0.472,0.59,3.3,31.4,4.3,2.1,0.7,0.3,13.8
195,Tobias Harris\harrito02,0.618,0.558,4.8,34.3,6.7,3,0.7,0.6,19
196,Shaquille Harrison\harrish01,0.345,0.525,0.6,7.7,1.4,0.9,0.5,0.2,3.4
197,Josh Hart\hartjo01,0.418,0.568,2.4,28.1,6.4,1.6,1.1,0.4,10.6
198,Isaiah Hartenstein\harteis01,0.63,0.674,1.1,11.6,3.9,0.8,0.4,0.5,4.7
199,Udonis Haslem\hasleud01,0.648,0.906,0.1,5.5,1.5,0,0,0,2.5
200,Jaxson Hayes\hayesja02,0.418,0.677,3.4,17.8,4.3,1,0.4,1,7.9
201,Gordon Hayward\haywago01,0.704,0.598,4.3,33.2,6.7,4.1,0.7,0.5,17.3
202,John Henson\hensojo01,0.727,0.566,1.1,14.2,4,1.4,0.5,1.1,5.1
203,Dewan Hernandez\hernade01,0.727,0.34,0,2.8,1.8,0,0.3,0,1
204,Juan Hernangómez\hernaju01,0.727,0.47,0.4,13.8,3.1,0.7,0.2,0.2,4.1
