Rk,player,win_pct,ts_pct,ws,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
422,Tomáš Sa0.727anský,0.345,0.554,3.5,28.6,3.7,5.3,1.3,0.1,10.3
424,Dennis Schröder,0.6,0.576,3.1,31.2,3.8,4,0.6,0.2,19.3
427,Collin Sexton,0.259,0.544,1.7,32.2,3.2,2.7,1,0.1,19.8
428,Landry Shamet,0.673,0.621,2.5,29.2,2.1,1.8,0.4,0.2,10.6
431,Pascal Siakam,0.727,0.553,4.1,35,7.5,3.5,1,0.9,23.5
433,Ben Simmons,0.618,0.607,7.2,36.3,7.9,8.3,2.2,0.6,16.9
436,Marcus Smart,0.704,0.525,3.4,31.6,3.6,4.7,1.6,0.5,12.5
438,Ish Smith,0.377,0.517,1.6,26.4,3.2,4.7,0.8,0.4,10.8
445,Jayson Tatum,0.704,0.554,4.9,34.1,6.9,2.9,1.4,0.9,22.4
446,Jeff Teague,0.727,0.556,2.4,26.1,2.5,5.7,0.8,0.3,11.3
447,Garrett Temple,0.472,0.505,1.7,28.2,3.3,2.5,0.8,0.4,10.2
449,Isaiah Thomas,0.377,0.531,0,23.1,1.7,3.7,0.3,0.2,12.2
452,Tristan Thompson,0.259,0.543,2.7,30.6,10.3,2.1,0.6,0.9,12.1
456,Karl-Anthony Towns,0.302,0.642,5.3,33.9,10.8,4.4,0.9,1.2,26.5
462,Myles Turner,0.582,0.568,2.9,29.1,6.1,1.2,0.7,1.9,11.9
463,Jonas Valančiūnas,0.518,0.631,4.8,26,10.5,1.9,0.4,1.2,14.9
466,Fred VanVleet,0.727,0.551,4.8,36,3.7,6.8,1.9,0.3,18
469,Nikola Vučević,0.436,0.533,4.4,32.2,10.8,3.7,0.9,0.9,19
471,Moritz Wagner,0.377,0.678,1.3,20.3,5.7,1.3,0.7,0.6,11.3
473,Kemba Walker,0.704,0.579,5.5,32.2,4.1,5,1,0.5,21.8
476,Taurean Waller-Prince,0.472,0.504,1,29.7,6.2,2,0.9,0.4,12.4
479,T.J. Warren,0.582,0.6,4.6,32.3,3.7,1.4,1.2,0.5,18.5
480,PJ Washington,0.333,0.55,1.6,30.1,5.5,2,0.9,0.8,11.7
485,Russell Westbrook,0.63,0.531,3.6,36,8,7.2,1.6,0.4,27.2
486,Coby White,0.345,0.477,0.1,24.3,3.5,2.4,0.7,0.1,11.1
487,Derrick White,0.426,0.579,2.7,23.8,3.1,3.4,0.6,0.8,10.2
488,Hassan Whiteside,0.446,0.64,6.7,30.8,14.1,1.2,0.4,3,15.7
489,Andrew Wiggins,0.727,0.543,2.1,34.5,5,3.7,0.8,0.9,22.5
493,Lou Williams,0.673,0.542,3.4,30,3.1,5.9,0.6,0.2,19.5
497,Zion Williamson,0.418,0.62,0.9,27.4,7.5,2.2,0.7,0.4,22.1
499,Justise Winslow,0.648,0.44,0,32,6.6,4,0.6,0.5,11.3
500,Christian Wood,0.333,0.66,4,19.1,5.7,0.8,0.5,0.8,11.2
503,Trae Young,0.268,0.599,5.1,35.2,4.4,9.2,1.2,0.1,29.7
504,Cody Zeller,0.333,0.563,2.8,23.1,7.1,1.5,0.7,0.5,11
